seed,log_loss,brier_score,roc_auc,accuracy,logloss_improvement_vs_baseline,brier_improvement_vs_baseline
74,0.6963065001466319,0.2515760104700847,0.46520204414941263,0.5216284987277354,-0.0033703951563969214,-0.0016849277411513652
96,0.6963943893066156,0.25160673487319957,0.4698646014435488,0.5063613231552163,-0.003458284316380622,-0.001715652144266222
9,0.6964231068638497,0.2516211416012057,0.46833675781044204,0.5139949109414759,-0.0034870018736147257,-0.0017300588722723442
66,0.6964938777512891,0.2516456976817123,0.47718771402981935,0.5063613231552163,-0.0035577727610541787,-0.0017546149527789545
93,0.6966131482115997,0.2517078193621825,0.47176123491912964,0.5012722646310432,-0.003677043221364751,-0.0018167366332491608
38,0.696618821105479,0.25172131387817953,0.4629102786997523,0.5063613231552163,-0.003682716115244067,-0.0018302311492461865
90,0.6969665855106995,0.2518932230535546,0.45951214372267,0.5063613231552163,-0.004030480520464508,-0.00200214032462126
30,0.6974943748775445,0.2521388553288933,0.467967967967968,0.5139949109414759,-0.004558269887309563,-0.002247772599959952
10,0.6976990049416582,0.2522601271616327,0.4598809335651441,0.5139949109414759,-0.004762899951423205,-0.002369044432699363
88,0.6977810951725325,0.2522949600519219,0.4608292503029345,0.4910941475826972,-0.004844990182297559,-0.002403877322988579
29,0.6982465576035866,0.25252674029619704,0.4617248827775144,0.5063613231552163,-0.005310452613351613,-0.002635657567263694
