n,log_loss,brier_score,roc_auc,accuracy,calibration_slope,probability_spread_return,slice,model_id
56,0.6811780960199397,0.2440439472585374,0.5483870967741935,0.5892857142857143,1.525759717496267,0.00026744371841121617,quarter_2026Q1,liuyao_hash
60,0.6936508940238512,0.2502362249872966,0.4915824915824916,0.5,-0.08017972706085029,0.0018384583131248373,quarter_2026Q2,baseline
60,0.7042392514730833,0.2554627953183963,0.42199775533108863,0.5,-1.243461797655982,-0.0019593492260742786,quarter_2026Q2,cycle
60,0.6819742758244429,0.24444237467898416,0.5723905723905724,0.5666666666666667,2.0109106375385637,0.000354171900016261,quarter_2026Q2,ziping
60,0.6951046552663523,0.2509549185456202,0.4960718294051627,0.5166666666666667,-0.11921960816725441,0.0009932435898443634,quarter_2026Q2,qimen
60,0.6979275284160148,0.2523835547966968,0.4702581369248036,0.45,-0.3711613906547926,0.0002806147360655724,quarter_2026Q2,meihua
60,0.6933373503367675,0.25008648631297337,0.48709315375982043,0.48333333333333334,0.2190198121100781,0.004455824952963215,quarter_2026Q2,liuyao_hash
34,0.6833002676816475,0.2451013073774473,0.5929824561403509,0.6176470588235294,3.4328746771412773,-0.0019560025501774553,quarter_2026Q3,baseline
34,0.679029101592097,0.24298334435606103,0.6421052631578947,0.6470588235294118,3.4500543326204514,0.0009797278191884884,quarter_2026Q3,cycle
34,0.6891202569015548,0.24800802565917113,0.5263157894736842,0.47058823529411764,1.0886891426422363,-0.002980520088923022,quarter_2026Q3,ziping
34,0.6867124156190061,0.24676898815170817,0.6,0.5588235294117647,1.7931137670539254,0.002760155088944497,quarter_2026Q3,qimen
34,0.6971064588580156,0.2519663094639899,0.5017543859649123,0.5294117647058824,0.05548059716053882,-0.004802306280590657,quarter_2026Q3,meihua
34,0.6828838035904906,0.2449025563340607,0.6070175438596491,0.5,3.0566685526385564,0.000990181834909779,quarter_2026Q3,liuyao_hash
