branch,shift_sessions,log_loss,brier_score,roc_auc,accuracy,calibration_slope,probability_spread_return,logloss_improvement_vs_R1,brier_improvement_vs_R1
cycle,127,0.6963702360826045,0.2515749797511735,0.47376323692113165,0.5343511450381679,-0.4112031836074417,-0.0006762227709469623,-0.0018045433295783564,-0.0008766814422662139
cycle,131,0.6968219993701094,0.25179131460090576,0.4743954480796586,0.5165394402035624,-0.3778879131790709,-0.001023531773185839,-0.0022563066170832036,-0.0010930162919984832
cycle,137,0.6952014225281842,0.25099207603828244,0.4836678784047206,0.5241730279898219,-0.209134886640373,-0.0011705692171096653,-0.0006357297751580226,-0.00029377772937516644
cycle,149,0.7006564421680729,0.2536824010547528,0.45922238027501183,0.4910941475826972,-0.6900259335367037,-0.0012180953378525695,-0.006090749415046726,-0.0029841027458455405
cycle,157,0.6981977334315311,0.25249254855061515,0.46715136188820394,0.5038167938931297,-0.44720826981442696,-0.0019806646808888974,-0.0036320406785049775,-0.0017942502417078732
cycle,167,0.6973170084079504,0.25203623812445586,0.4706812075233128,0.49363867684478374,-0.5164320350260345,-0.0012792302183128879,-0.002751315654924258,-0.0013379398155485833
cycle,181,0.7027096684111293,0.25471798372382876,0.4392023602549919,0.48854961832061067,-0.87419294149795,-0.000492366963802698,-0.008143975658103098,-0.004019685414921481
cycle,197,0.6953929950729041,0.25110065258115066,0.4825615088772983,0.5216284987277354,-0.20287413515065386,0.0007858079319407211,-0.0008273023198779317,-0.00040235427224338816
cycle,211,0.6913817019874016,0.24909855407234105,0.5018439492123703,0.55470737913486,0.11183990009734943,0.0008477480998022633,0.003183990765624589,0.0015997442365662251
cycle,227,0.6976919701783694,0.2522293615848378,0.4691006796269954,0.5139949109414759,-0.47091544658248835,-0.00015105157545405488,-0.0031262774253432157,-0.0015310632759304998
cycle,241,0.6949763790196586,0.2509065127191465,0.48190295558716617,0.5139949109414759,-0.16009146329344184,-2.606570663317941e-05,-0.0004106862666324318,-0.00020821441023921583
ziping,5,0.6984633654641692,0.2525859171380986,0.4565618249828777,0.5190839694656488,-0.5784559181942458,-0.0015657307614510465,-0.003897672711143052,-0.0018876188291913065
ziping,7,0.6943968125572412,0.2505803410568249,0.49589062746957485,0.5012722646310432,-0.04138589614618517,-0.0006139824643359855,0.0001688801957849817,0.00011795725208235686
ziping,11,0.6949092766162273,0.25086215985382604,0.48319372003582534,0.5292620865139949,-0.17951088910499652,-0.0002615585901477408,-0.00034358386320110235,-0.00016386154491876415
ziping,13,0.6957346381648394,0.2512482861308483,0.47486960644855386,0.5241730279898219,-0.3220562951513542,-0.0003828249684235407,-0.001168945411813227,-0.0005499878219410448
ziping,17,0.6969719547364279,0.2518436815173258,0.4781360307676098,0.5216284987277354,-0.4261077286344568,-0.001114469468978916,-0.0024062619834017696,-0.0011453832084185045
ziping,19,0.6920177584566001,0.24941678664118827,0.5044254781096886,0.5292620865139949,0.1471497212588426,0.0005533784685635061,0.00254793429642608,0.0012815116677190042
ziping,23,0.6955388790884808,0.25116417939612395,0.48651282861809175,0.5012722646310432,-0.17854539703123845,-0.001975822090348084,-0.0009731863354546233,-0.00046588108721667965
ziping,29,0.698387846551609,0.25258563100303966,0.47655550287129234,0.5038167938931297,-0.40170473532234285,-0.0012576829150149054,-0.0038221537985828613,-0.001887332694132382
ziping,31,0.696954727145966,0.25184350401426897,0.4807702439281387,0.5165394402035624,-0.37130510276163936,-0.0005435452825762715,-0.002389034392939804,-0.001145205705361696
ziping,37,0.6975996096527649,0.25216548885624757,0.4759759759759761,0.5216284987277354,-0.4250260334378085,-0.0009400981659429398,-0.0030339168997387533,-0.0014671905473402913
ziping,41,0.696192130353396,0.2514900440025496,0.4787418997945313,0.5012722646310432,-0.45763127520349783,-0.0013161970280560847,-0.0016264376003698455,-0.0007917456936423206
ziping,47,0.6989833996048669,0.25286285352183935,0.46817870502081027,0.5012722646310432,-0.41741547284932634,0.000175476040726815,-0.00441770685184073,-0.0021645552129320733
ziping,53,0.6987672667604791,0.2527606301299366,0.47083926031294454,0.4961832061068702,-0.38619869772879445,-0.0011730511084973563,-0.004201574007452913,-0.0020623318210293284
ziping,59,0.7004967043212798,0.2535745548766544,0.47342078921026287,0.5216284987277354,-0.39071240551896785,0.00042982432114620586,-0.005931011568253597,-0.0028762565677471486
